"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Welcome to our movie website where you can find reviews and ratings for your favorite movies."
"","Feature Section","Highlight of the latest and most popular movies."
"","Features List Section","Overview of what users can do on the website: browse movies, read reviews, post reviews, rate movies."
"","Benefits Section","Benefits of joining our community: access to exclusive content, personalized recommendations, and more."
"","How It Works Section","Step-by-step guide on how to use the website to find and review movies."
"","CTA Section","Encourage visitors to sign up for an account to start posting reviews and rating movies."
"","Newsletter Section","Form to subscribe to the newsletter for updates on new movie releases and reviews."
"","Footer",""
"Movies"
"Movie Details"
"Reviews"
"Review Post"
"About Us"
"Contact"
